program,age,rating,directs,kid
no,IMG,3,254,PERSAY03
no,IMG,3,254,RAMDIJ01
no,IMG,3,254,YUH07
no,SOM,4,254,ALIN01
no,SOM,4,254,ASHURP01
no,IMG,4,254,BESTJ01
no,HOS,4,254,CHARLM05
no,SOM,4,254,COTTEV01
no,SOM,4,254,DHINDS01
no,SOM,4,254,DIMANM01
no,SOM,4,254,EX205
no,SOM,4,254,HERNAM35
no,IMG,4,254,MESSIM04
no,SOM,4,254,MOOREM02
no,IMG,4,254,PISACJ01
no,IMG,4,254,RAIOLS01
no,SOM,4,254,SMITHA40
no,SOM,4,254,SOTOM04
no,SOM,4,254,SWAHND01
no,SOM,4,254,WILDEP02
no,SOM,4,254,WINITM01
no,SOM,4,254,ZHENGL04
no,SOM,5,254,BERNAD03
no,SOM,5,254,CHEND05
no,HOS,5,254,FIXSEE01
no,SOM,5,254,JARVIB02
no,SOM,5,254,KWOKY01
no,SOM,5,254,MERCAG03
no,SOM,5,254,MULHOT01
no,SOM,5,254,OYFEI01
no,SOM,5,254,TEAHAD01
ldp,SOM,4,254,BOGOME01
no,SOM,2,252,CONSIT01
no,SOM,3,252,BATTIL01
no,SOM,3,252,KINGA16
no,SOM,3,252,PEREZE06
no,SOM,3,252,SINGHM02
no,SOM,4,252,ALEGRK01
no,SOM,4,252,GREGOM03
no,SOM,4,252,GUALTS01
no,SOM,4,252,LINT05
no,SOM,4,252,PAQUIC01
no,SOM,4,252,TANSER01
no,SOM,4,252,TORREC06
no,SOM,5,252,ALAIMC01
no,SOM,5,252,MCADAA01
no,SOM,5,252,VERAD01
no,SOM,3,249,CENTEF01
no,LMC,4,249,AK2497
no,SOM,4,249,BOARDD01
no,LMC,4,249,PAPADM02
no,SOM,4,249,XUR06
no,HOS,3,240,MIAHH01
no,HOS,3,240,NURILA01
no,HOS,4,240,JONESA24
no,HOS,4,240,MERMIE01
no,HOS,4,240,MORALL11
no,HOS,5,240,ARGYRA01
no,HOS,5,240,FRANGZ01
no,HOS,5,240,GALGAJ01
no,HOS,5,240,GREENK16
no,HOS,5,240,KAMA01
no,HOS,5,240,LIW14
no,HOS,5,240,MIAHS02
no,HOS,5,240,PETROK02
no,HOS,5,240,SHAHA28
no,HOS,5,240,THOMAN09
no,HOS,5,240,ZLOTNA01
no,LMC,2,238,AGOSTA02
no,LMC,2,238,CABREM11
no,LMC,2,238,JEROMJ02
no,LMC,2,238,LOPEZJ39
no,LMC,2,238,MICHOC01
no,LMC,3,238,BASTIM04
no,LMC,3,238,BECKET02
no,LMC,3,238,BENSOC01
no,LMC,3,238,FLOREK02
no,LMC,3,238,GOTTLA01
no,LMC,3,238,ISLAMK01
no,LMC,3,238,JD1477
no,LMC,3,238,KAHNN01
no,LMC,3,238,KUZMAA01
no,LMC,3,238,MAGLIA02
no,LMC,3,238,NELSOK07
no,LMC,3,238,ROTANM01
no,LMC,3,238,SHAREA01
no,LMC,3,238,WHITEJ11
no,LMC,4,238,ACKERD01
no,LMC,4,238,AGUIRC01
no,LMC,4,238,ALEXAT08
no,LMC,4,238,ALFRES01
no,LMC,4,238,ALHADN01
no,LMC,4,238,ALLENP07
no,LMC,4,238,ALMADA01
no,LMC,4,238,AMINOA02
no,LMC,4,238,ANGOTA01
no,LMC,4,238,ANTABM01
no,LMC,4,238,APONTM04
no,LMC,4,238,AUGUSM09
no,LMC,4,238,BALUCF01
no,LMC,4,238,BARNIE01
no,LMC,4,238,BARROS05
no,LMC,4,238,BECKEK03
no,LMC,4,238,BELTRA03
no,LMC,4,238,BISCUC01
no,LMC,4,238,BISMUS01
no,LMC,4,238,BLACKT04
no,LMC,4,238,BLANCE01
no,LMC,4,238,BOODRM02
no,LMC,4,238,BRAGES01
no,LMC,4,238,BROWNJ47
no,LMC,4,238,BULAA01
no,LMC,4,238,BUTLEB04
no,LMC,4,238,BUZZEG01
no,LMC,4,238,CABANE02
no,LMC,4,238,CAINJ01
no,LMC,4,238,CAJAMJ02
no,LMC,4,238,CANTRG01
no,LMC,4,238,CEP311
no,LMC,4,238,CHANA20
no,LMC,4,238,CHANN05
no,LMC,4,238,CHAPPS02
no,LMC,4,238,CHENGJ06
no,LMC,4,238,CHOIAD01
no,LMC,4,238,CHPATD01
no,LMC,4,238,CIELEM01
no,LMC,4,238,CLIMAS01
no,LMC,4,238,COFELK01
no,LMC,4,238,CORDEM07
no,LMC,4,238,CORKEM01
